sample,organism,removal_pct,replicate
MIT9313_60percentremoved_replicate1,MIT9313,60,1
MIT9313_60percentremoved_replicate2,MIT9313,60,2
MIT9313_60percentremoved_replicate3,MIT9313,60,3
MIT9313_70percentremoved_replicate1,MIT9313,70,1
MIT9313_70percentremoved_replicate2,MIT9313,70,2
MIT9313_70percentremoved_replicate3,MIT9313,70,3
MIT9313_80percentremoved_replicate1,MIT9313,80,1
MIT9313_80percentremoved_replicate2,MIT9313,80,2
MIT9313_80percentremoved_replicate3,MIT9313,80,3
MIT9313_90percentremoved_replicate1,MIT9313,90,1
MIT9313_90percentremoved_replicate2,MIT9313,90,2
MIT9313_90percentremoved_replicate3,MIT9313,90,3
Pseudomonas_fluorescens_SBW25_0percentremoved_replicate1,Pseudomonas_fluorescens_SBW25,0,1
Pseudomonas_fluorescens_SBW25_0percentremoved_replicate2,Pseudomonas_fluorescens_SBW25,0,2
Pseudomonas_fluorescens_SBW25_0percentremoved_replicate3,Pseudomonas_fluorescens_SBW25,0,3
Pseudomonas_fluorescens_SBW25_100percentremoved_replicate1,Pseudomonas_fluorescens_SBW25,100,1
Pseudomonas_fluorescens_SBW25_100percentremoved_replicate2,Pseudomonas_fluorescens_SBW25,100,2
Pseudomonas_fluorescens_SBW25_100percentremoved_replicate3,Pseudomonas_fluorescens_SBW25,100,3
Pseudomonas_fluorescens_SBW25_10percentremoved_replicate1,Pseudomonas_fluorescens_SBW25,10,1
Pseudomonas_fluorescens_SBW25_10percentremoved_replicate2,Pseudomonas_fluorescens_SBW25,10,2
Pseudomonas_fluorescens_SBW25_10percentremoved_replicate3,Pseudomonas_fluorescens_SBW25,10,3
Pseudomonas_fluorescens_SBW25_20percentremoved_replicate1,Pseudomonas_fluorescens_SBW25,20,1
Pseudomonas_fluorescens_SBW25_20percentremoved_replicate2,Pseudomonas_fluorescens_SBW25,20,2
Pseudomonas_fluorescens_SBW25_20percentremoved_replicate3,Pseudomonas_fluorescens_SBW25,20,3
Pseudomonas_fluorescens_SBW25_30percentremoved_replicate1,Pseudomonas_fluorescens_SBW25,30,1
Pseudomonas_fluorescens_SBW25_30percentremoved_replicate2,Pseudomonas_fluorescens_SBW25,30,2
Pseudomonas_fluorescens_SBW25_30percentremoved_replicate3,Pseudomonas_fluorescens_SBW25,30,3
Pseudomonas_fluorescens_SBW25_40percentremoved_replicate1,Pseudomonas_fluorescens_SBW25,40,1
Pseudomonas_fluorescens_SBW25_40percentremoved_replicate2,Pseudomonas_fluorescens_SBW25,40,2
Pseudomonas_fluorescens_SBW25_40percentremoved_replicate3,Pseudomonas_fluorescens_SBW25,40,3
Pseudomonas_fluorescens_SBW25_50percentremoved_replicate1,Pseudomonas_fluorescens_SBW25,50,1
Pseudomonas_fluorescens_SBW25_50percentremoved_replicate2,Pseudomonas_fluorescens_SBW25,50,2
Pseudomonas_fluorescens_SBW25_50percentremoved_replicate3,Pseudomonas_fluorescens_SBW25,50,3
Pseudomonas_fluorescens_SBW25_60percentremoved_replicate1,Pseudomonas_fluorescens_SBW25,60,1
Pseudomonas_fluorescens_SBW25_60percentremoved_replicate2,Pseudomonas_fluorescens_SBW25,60,2
Pseudomonas_fluorescens_SBW25_60percentremoved_replicate3,Pseudomonas_fluorescens_SBW25,60,3
Pseudomonas_fluorescens_SBW25_70percentremoved_replicate1,Pseudomonas_fluorescens_SBW25,70,1
Pseudomonas_fluorescens_SBW25_70percentremoved_replicate2,Pseudomonas_fluorescens_SBW25,70,2
Pseudomonas_fluorescens_SBW25_70percentremoved_replicate3,Pseudomonas_fluorescens_SBW25,70,3
Pseudomonas_fluorescens_SBW25_80percentremoved_replicate1,Pseudomonas_fluorescens_SBW25,80,1
Pseudomonas_fluorescens_SBW25_80percentremoved_replicate2,Pseudomonas_fluorescens_SBW25,80,2
Pseudomonas_fluorescens_SBW25_80percentremoved_replicate3,Pseudomonas_fluorescens_SBW25,80,3
Pseudomonas_fluorescens_SBW25_90percentremoved_replicate1,Pseudomonas_fluorescens_SBW25,90,1
Pseudomonas_fluorescens_SBW25_90percentremoved_replicate2,Pseudomonas_fluorescens_SBW25,90,2
Pseudomonas_fluorescens_SBW25_90percentremoved_replicate3,Pseudomonas_fluorescens_SBW25,90,3
