module_id	present	fraction
M00140	2509	0.1172923191996634
M00141	0	0.0
M00142	0	0.0
M00143	0	0.0
M00144	2621	0.122528166051143
M00145	111	0.0051890982188770975
M00146	0	0.0
M00147	0	0.0
M00148	0	0.0
M00149	8175	0.3821700715254079
M00150	2160	0.10097704642139217
M00151	11561	0.5404609415174606
M00152	0	0.0
M00153	4620	0.21597868262353326
M00154	0	0.0
M00155	7147	0.3341124772100416
M00156	5671	0.26511149548875695
M00157	8348	0.3902575849656398
M00158	0	0.0
M00159	131	0.0061240708709270255
M00160	0	0.0
M00161	137	0.006404562666542004
M00162	4	0.0001869945304099855
M00163	142	0.006638305829554486
M00165	4289	0.20050488523210697
M00166	3827	0.17890701696975364
M00167	11520	0.5385442475807583
M00168	4518	0.21121032209807863
M00169	2941	0.13748772848394183
M00170	0	0.0
M00171	0	0.0
M00172	1196	0.055911364592585666
M00173	253	0.011827404048431583
M00174	66	0.003085409751764761
M00175	1270	0.0593707634051704
M00176	3721	0.17395166191388903
M00307	12064	0.5639755037165163
M00308	8148	0.38090785844514047
M00309	0	0.0
M00338	1857	0.08681221074283577
M00344	0	0.0
M00345	1262	0.058996774344350425
M00346	418	0.019540928427843485
M00356	0	0.0
M00357	0	0.0
M00358	400	0.01869945304099855
M00363	1	4.6748632602496374e-05
M00364	4516	0.21111682483287364
M00365	1878	0.0877939320274882
M00366	0	0.0
M00367	0	0.0
M00368	0	0.0
M00369	0	0.0
M00370	0	0.0
M00371	0	0.0
M00372	0	0.0
M00373	679	0.03174232153709504
M00374	0	0.0
M00375	0	0.0
M00376	1	4.6748632602496374e-05
M00377	32	0.001495956243279884
M00378	70	0.0032724042821747463
M00415	0	0.0
M00416	781	0.03651068206254967
M00417	5854	0.2736664952550138
M00418	4	0.0001869945304099855
M00419	8	0.000373989060819971
M00422	0	0.0
M00432	15564	0.7275957178252536
M00433	0	0.0
M00525	2596	0.1213594502360806
M00526	19395	0.9066897293254172
M00527	17386	0.812771726427002
M00528	95	0.004441120097237156
M00529	1436	0.06713103641718479
M00530	5291	0.24734701509980833
M00531	2754	0.12874573418727503
M00532	0	0.0
