M00001	0.9349259034173251
M00002	0.9673694544434576
M00003	0.8467112336964144
M00004	0.6799588612033098
M00005	0.9968210929830302
M00006	0.6288158571361787
M00007	0.9444158758356318
M00008	0.5108690570800805
M00009	0.4940395493431817
M00010	0.270674582768454
M00011	0.5479407227338601
M00012	0.35949698471319713
M00013	0.0
M00014	0.0
M00015	0.6739750362301903
M00016	0.7766350334252723
M00017	0.6080594642606704
M00018	0.9107568603618345
M00019	0.8725164788929923
M00020	0.5344303679117386
M00021	0.6300313215838437
M00022	0.786966481230424
M00023	0.489925669674162
M00024	0.21971857323173297
M00025	0.21256603244355102
M00026	0.523537936515357
M00027	0.029124398111355244
M00028	0.7368051984479455
M00029	0.17002477677527933
M00030	0.0
M00031	0.011967649946239072
M00032	0.0
M00033	0.12911972324809498
M00034	0.1703052685708943
M00035	0.42480482445888457
M00036	0.1610957879482025
M00037	0.0
M00038	0.02674021784862793
M00039	0.0
M00040	0.06666355009115983
M00042	0.0
M00043	0.0
M00044	0.20934037679397877
M00045	0.5146556963208826
M00046	0.13379458650834464
M00047	0.0
M00048	0.9643307933242953
M00049	0.9568510121078958
M00050	0.9707821046234397
M00051	0.056332102286008136
M00052	0.8014585573371978
M00053	0.5164321443597775
M00055	0.0
M00056	0.0
M00057	0.0
M00058	0.0
M00059	0.0
M00060	0.4867467626571923
M00061	0.2337899116450844
M00063	0.5460240287971577
M00064	0.3280351549717171
M00065	0.0
M00066	0.0
M00067	0.0
M00068	0.0
M00069	0.0
M00070	0.0
M00071	0.0
M00072	0.0
M00073	0.0
M00074	0.0
M00075	0.0
M00076	0.0
M00077	4.6748632602496374e-05
M00078	0.0
M00079	0.0
M00081	0.0
M00082	0.5177878547052499
M00083	0.798653639381048
M00085	0.0
M00086	0.631854518255341
M00087	0.24061521200504885
M00088	0.02645972605301295
M00089	0.0
M00090	0.0
M00091	0.18507783647328316
M00092	0.0
M00093	0.5973072787620962
M00094	0.0
M00095	0.038100135571034546
M00096	0.7771492683838997
M00097	0.007807021644616895
M00098	0.05927726613996541
M00099	0.0
M00100	0.0
M00101	0.0
M00102	0.0
M00103	0.0
M00104	0.0
M00106	0.0
M00107	0.0
M00108	0.0
M00109	0.0
M00110	0.0
M00112	0.004113879669019681
M00113	0.0
