module,MED4_anvio,MED4_metabolic,MED4_kemet,MED4_mpp,SS120_anvio,SS120_metabolic,SS120_kemet,SS120_mpp,MIT9313_anvio,MIT9313_metabolic,MIT9313_kemet,MIT9313_mpp,Pseudomonas_fluorescens_SBW25_anvio,Pseudomonas_fluorescens_SBW25_metabolic,Pseudomonas_fluorescens_SBW25_kemet,Pseudomonas_fluorescens_SBW25_mpp,overall_pattern
M00133,both,both,both,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only
M00134,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,anvio_only,neither,neither,neither,tool_only
M00135,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00136,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00145,both,both,both,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,blimmp_only,neither,neither,neither,neither,blimmp_only
M00149,neither,neither,neither,neither,anvio_only,neither,neither,neither,anvio_only,neither,neither,neither,both,both,both,both,tool_only
M00155,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00157,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00161,both,both,both,both,both,blimmp_only,both,both,both,both,blimmp_only,both,neither,neither,neither,neither,blimmp_only
M00163,both,blimmp_only,both,both,both,both,both,both,both,both,blimmp_only,both,neither,neither,neither,neither,blimmp_only
M00165,both,both,both,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00176,both,both,both,both,both,blimmp_only,blimmp_only,both,both,both,blimmp_only,both,both,both,both,blimmp_only,blimmp_only
M00307,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,both,blimmp_only,blimmp_only,both,both,both,both,blimmp_only
M00308,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,both,both,blimmp_only,blimmp_only
M00338,blimmp_only,blimmp_only,blimmp_only,blimmp_only,neither,neither,neither,neither,neither,neither,neither,neither,both,both,both,blimmp_only,blimmp_only
M00345,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00364,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,anvio_only,tool_only,neither,tool_only,tool_only
M00432,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00525,anvio_only,neither,neither,neither,anvio_only,neither,neither,neither,anvio_only,neither,neither,neither,neither,neither,neither,neither,tool_only
M00526,both,both,both,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00527,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,blimmp_only,blimmp_only
M00546,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00549,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,both,both,blimmp_only,blimmp_only
M00565,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00570,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00572,both,both,both,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00573,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00577,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00579,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00580,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00611,both,blimmp_only,both,blimmp_only,both,blimmp_only,both,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,neither,neither,neither,neither,blimmp_only
M00616,neither,neither,tool_only,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,blimmp_only,both,blimmp_only,mixed
M00621,both,both,both,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00675,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00702,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00705,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00793,neither,neither,neither,neither,neither,neither,neither,neither,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00844,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00845,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00846,both,both,both,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00851,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00854,both,both,both,both,both,both,both,both,both,both,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00855,anvio_only,neither,tool_only,neither,anvio_only,neither,tool_only,neither,anvio_only,neither,neither,neither,both,blimmp_only,both,blimmp_only,mixed
M00866,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,both,both,blimmp_only,blimmp_only
M00868,both,both,both,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00879,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,both,both,blimmp_only,blimmp_only
M00881,both,both,blimmp_only,blimmp_only,both,both,blimmp_only,blimmp_only,both,both,blimmp_only,both,both,both,both,both,blimmp_only
M00883,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00885,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00886,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00895,blimmp_only,blimmp_only,blimmp_only,blimmp_only,neither,neither,neither,neither,neither,neither,neither,neither,both,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00896,blimmp_only,blimmp_only,blimmp_only,blimmp_only,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00899,blimmp_only,blimmp_only,blimmp_only,blimmp_only,neither,neither,neither,neither,neither,neither,neither,neither,blimmp_only,blimmp_only,blimmp_only,blimmp_only,blimmp_only
M00909,both,both,both,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,both,both,both,both,blimmp_only,blimmp_only
M00912,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,both,both,blimmp_only,blimmp_only
M00913,neither,neither,neither,,neither,neither,neither,,neither,neither,neither,,anvio_only,tool_only,tool_only,,tool_only
M00923,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither,both,both,both,blimmp_only,blimmp_only
M00924,both,both,blimmp_only,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00925,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,blimmp_only,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
M00926,both,both,both,blimmp_only,both,both,both,blimmp_only,both,both,blimmp_only,blimmp_only,both,both,both,blimmp_only,blimmp_only
