sample	species_sylph	species_miniphy	filename_in_tar_xz	tar_xz	tar_xz_url	tar_xz_md5	tar_xz_size_MB
SAMEA80359918	1XD8-76 sp910573755	1xd876_sp910573755	atb.assembly.r0.2.batch.92/SAMEA80359918.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA7532538	1XD8-76 sp910573755	1xd876_sp910573755	atb.assembly.r0.2.batch.92/SAMEA7532538.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN34114871	28-YEA-48 sp900104955	28yea48_sp900104955	atb.assembly.r0.2.batch.92/SAMN34114871.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN02909965	336-3 sp000734895	3363_sp000734895	atb.assembly.r0.2.batch.92/SAMN02909965.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN05216436	A37T11 sp900109895	a37t11_sp900109895	atb.assembly.r0.2.batch.92/SAMN05216436.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN08886286	AAA536-G10 sp003278095	aaa536g10_sp003278095	atb.assembly.r0.2.batch.92/SAMN08886286.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN08886234	AG-363-A16 sp003280345	ag363a16_sp003280345	atb.assembly.r0.2.batch.94/SAMN08886234.fa	atb.assembly.r0.2.batch.94.tar.xz	https://osf.io/download/66715576d835c439ba4cdfdf/	a49d28fe37346abc81288a78d397422f	221.52
SAMN08886247	AG-363-K07 sp003280225	ag363k07_sp003280225	atb.assembly.r0.2.batch.94/SAMN08886247.fa	atb.assembly.r0.2.batch.94.tar.xz	https://osf.io/download/66715576d835c439ba4cdfdf/	a49d28fe37346abc81288a78d397422f	221.52
SAMN08886241	AG-363-K07 sp003280295	ag363k07_sp003280295	atb.assembly.r0.2.batch.94/SAMN08886241.fa	atb.assembly.r0.2.batch.94.tar.xz	https://osf.io/download/66715576d835c439ba4cdfdf/	a49d28fe37346abc81288a78d397422f	221.52
SAMN08886347	AG-409-B05 sp003216075	ag409b05_sp003216075	atb.assembly.r0.2.batch.94/SAMN08886347.fa	atb.assembly.r0.2.batch.94.tar.xz	https://osf.io/download/66715576d835c439ba4cdfdf/	a49d28fe37346abc81288a78d397422f	221.52
SAMN08886364	AG-409-J16 sp003215655	ag409j16_sp003215655	atb.assembly.r0.2.batch.94/SAMN08886364.fa	atb.assembly.r0.2.batch.94.tar.xz	https://osf.io/download/66715576d835c439ba4cdfdf/	a49d28fe37346abc81288a78d397422f	221.52
